SEZ2011,tile_x,tile_y,zoom
150220000002,17200,11746,15
150220000002,17200,11747,15
150590000040,17251,11722,15
150590000040,17251,11721,15
150220000001,17199,11746,15
150220000001,17199,11747,15
150220000001,17200,11746,15
150220000001,17200,11747,15
151390000012,17234,11735,15
151390000012,17233,11735,15
150990000006,17191,11712,15
150990000006,17191,11713,15
150990000006,17190,11712,15
150990000006,17190,11713,15
150990000004,17190,11714,15
150990000004,17191,11714,15
151390000005,17232,11735,15
151390000005,17232,11736,15
151390000005,17233,11735,15
151390000005,17233,11736,15
151390000004,17232,11735,15
151390000004,17233,11735,15
151830000004,17182,11719,15
151830000004,17182,11720,15
151830000004,17183,11719,15
151830000004,17183,11720,15
150990000005,17190,11714,15
150990000005,17190,11713,15
150990000005,17189,11713,15
150990000005,17189,11714,15
152240000010,17246,11727,15
151060000002,17242,11714,15
151060000002,17242,11715,15
151060000002,17243,11714,15
151060000002,17243,11715,15
151460002842,17221,11735,15
151460002842,17221,11736,15
151460002842,17222,11735,15
151460002842,17222,11736,15
152360000001,17207,11744,15
150770000370,17221,11713,15
150770000370,17222,11713,15
150770000308,17222,11714,15
150770000308,17222,11713,15
151830000005,17183,11719,15
151830000005,17183,11720,15
151590000014,17222,11736,15
150770000455,17222,11714,15
150770000455,17221,11714,15
151590000013,17222,11736,15
151390000006,17233,11736,15
151590000022,17222,11736,15
150990000018,17190,11714,15
150990000018,17190,11713,15
150990000018,17189,11713,15
150990000018,17189,11714,15
150770000392,17222,11714,15
150770000392,17221,11713,15
150770000392,17221,11714,15
150770000392,17222,11713,15
151390000001,17232,11735,15
151060000024,17242,11715,15
151840000008,17192,11730,15
151780000006,17244,11721,15
152360000004,17208,11746,15
150270000046,17216,11716,15
151840000006,17192,11730,15
151840000006,17192,11731,15
151840000003,17193,11731,15
151840000003,17192,11731,15
151780000010,17245,11720,15
151780000010,17245,11721,15
151030000093,17205,11738,15
150990000001,17190,11714,15
150990000001,17191,11713,15
150990000001,17191,11714,15
150990000001,17190,11713,15
150770000393,17221,11713,15
150770000310,17222,11714,15
150770000310,17221,11713,15
150770000310,17221,11714,15
150770000310,17222,11713,15
151660000079,17217,11714,15
151660000079,17217,11713,15
151390000003,17232,11735,15
151390000003,17233,11735,15
151840000004,17193,11730,15
151840000004,17193,11731,15
151840000004,17192,11730,15
151840000004,17192,11731,15
151460002739,17224,11733,15
151460002739,17225,11733,15
150270000044,17216,11716,15
150270000044,17215,11716,15
150410000011,17193,11716,15
150410000011,17193,11717,15
150720000017,17200,11710,15
150720000017,17200,11711,15
150720000017,17199,11710,15
150720000017,17199,11711,15
150700000003,17232,11719,15
150700000003,17233,11719,15
151060000001,17242,11715,15
150990000002,17190,11714,15
150990000002,17191,11713,15
150990000002,17191,11714,15
150990000002,17190,11713,15
151460002738,17225,11733,15
151720000033,17236,11716,15
151720000033,17237,11716,15
151780000007,17244,11720,15
151780000007,17244,11721,15
151780000007,17245,11720,15
151780000007,17245,11721,15
